日期,客户编码,客户名称,产品编码,产品名称,送量,退量,销量,金额
2014/9/1,1013075,迪亚天天---虹梅店,5,曼可顿牛奶三文治面包-蜂蜜口味(350g),1,0,1,6
2014/9/1,1013075,迪亚天天---虹梅店,6,曼可顿牛奶三文治面包-芝士口味(350g),1,0,1,6
2014/9/1,1013076,迪亚天天---平塘店,5,曼可顿牛奶三文治面包-蜂蜜口味(350g),6,1,5,30
2014/9/1,1013076,迪亚天天---平塘店,6,曼可顿牛奶三文治面包-芝士口味(350g),6,0,6,36
2014/9/1,1013076,迪亚天天---平塘店,10156,曼可顿美味方经典红豆面包(125g),2,0,2,7
2014/9/1,1013076,迪亚天天---平塘店,10164,曼可顿美味方纯软心巧克力面包(125g),2,0,2,7
2014/9/1,1013076,迪亚天天---平塘店,10172,曼可顿特选系列经典白面包(400g),2,0,2,11.8
2014/9/1,1013076,迪亚天天---平塘店,10175,曼可顿黄金堡法式软丝面包,4,0,4,30.8
2014/9/1,1013076,迪亚天天---平塘店,10203,曼可顿特选系列粗粮吐司面包(400g),4,0,4,25.2
2014/9/1,1013076,迪亚天天---平塘店,10216,曼可顿红豆面包(136g),5,0,5,18
2014/9/1,1013076,迪亚天天---平塘店,10226,曼可顿皇冠面包-奶皇味(200g),4,0,4,30.4
2014/9/1,1013076,迪亚天天---平塘店,10231,曼可顿黄金蛋糕-原味(170g),10,0,10,70
2014/9/1,1013076,迪亚天天---平塘店,10263,曼可顿超醇面包(400g),18,2,16,119.36
2014/9/1,1013086,大润发---松江店,5,曼可顿牛奶三文治面包-蜂蜜口味(350g),40,0,40,252
2014/9/1,1013086,大润发---松江店,6,曼可顿牛奶三文治面包-芝士口味(350g),17,0,17,107.1
2014/9/1,1013086,大润发---松江店,325,曼可顿芝麻仔汉堡面包(285g),33,0,33,141.9
2014/9/1,1013086,大润发---松江店,10172,曼可顿特选系列经典白面包(400g),15,0,15,88.5
2014/9/1,1013086,大润发---松江店,10175,曼可顿黄金堡法式软丝面包,20,0,20,154
2014/9/1,1013086,大润发---松江店,10203,曼可顿特选系列粗粮吐司面包(400g),5,0,5,31.5
2014/9/1,1013086,大润发---松江店,10216,曼可顿红豆面包(136g),10,0,10,36
2014/9/1,1013086,大润发---松江店,10226,曼可顿皇冠面包-奶皇味(200g),10,0,10,80
2014/9/1,1013086,大润发---松江店,10263,曼可顿超醇面包(400g),30,0,30,238.8
2014/9/1,1013086,大润发---松江店,10341,曼可顿超醇面包-全麦(200g),26,0,26,122.2
2014/9/1,1013086,大润发---松江店,10351,曼可顿手撕包-原味(120g),15,0,15,65.1
2014/9/1,1013086,大润发---松江店,10400,曼可顿强化营养面包（甜味）(310g),20,0,20,98
2014/9/1,1013086,大润发---松江店,10401,曼可顿强化营养面包（咸味）(310g),20,0,20,98
2014/9/1,1013086,大润发---松江店,10402,曼可顿强化营养面包（全麦）(310g),40,0,40,200
2014/9/1,1014026,麦德龙---真北店,5,曼可顿牛奶三文治面包-蜂蜜口味(350g),24,0,24,151.2
2014/9/1,1014026,麦德龙---真北店,6,曼可顿牛奶三文治面包-芝士口味(350g),10,0,10,63
2014/9/1,1014026,麦德龙---真北店,325,曼可顿芝麻仔汉堡面包(285g),100,0,100,400
2014/9/1,1014026,麦德龙---真北店,10129,曼可顿全麦高纤维面包(250g),20,0,20,110
2014/9/1,1014026,麦德龙---真北店,10172,曼可顿特选系列经典白面包(400g),9,0,9,53.1
2014/9/1,1014026,麦德龙---真北店,10175,曼可顿黄金堡法式软丝面包,3,0,3,23.1
2014/9/1,1014026,麦德龙---真北店,10203,曼可顿特选系列粗粮吐司面包(400g),14,0,14,88.2
2014/9/1,1014026,麦德龙---真北店,10207,曼可顿椰蓉面包(136g),5,0,5,18
2014/9/1,1014026,麦德龙---真北店,10216,曼可顿红豆面包(136g),12,0,12,43.2
2014/9/1,1014026,麦德龙---真北店,10226,曼可顿皇冠面包-奶皇味(200g),7,0,7,56
2014/9/1,1014026,麦德龙---真北店,10231,曼可顿黄金蛋糕-原味(170g),4,0,4,28
2014/9/1,1014026,麦德龙---真北店,10257,曼可顿皇冠面包-花生酱味(200g),5,0,5,40
2014/9/1,1014026,麦德龙---真北店,10263,曼可顿超醇面包(400g),140,0,140,1072.4
2014/9/1,1014026,麦德龙---真北店,10341,曼可顿超醇面包-全麦(200g),8,0,8,37.6
2014/9/1,1014026,麦德龙---真北店,10400,曼可顿强化营养面包（甜味）(310g),50,0,50,245
2014/9/1,1014026,麦德龙---真北店,10401,曼可顿强化营养面包（咸味）(310g),29,0,29,142.1
2014/9/1,1014026,麦德龙---真北店,10402,曼可顿强化营养面包（全麦）(310g),16,0,16,80
2014/9/1,1014026,麦德龙---真北店,10408,曼可顿丹麦条-红豆(80g),5,0,5,14.9
2014/9/1,1014026,麦德龙---真北店,10409,曼可顿大理石面包-巧克力味(70g),5,0,5,13.6
2014/9/1,1014026,麦德龙---真北店,10410,曼可顿大理石面包-奶黄味(70g),5,0,5,13.6
2014/9/1,1014359,上海祁山商业有限责任公司(华联交通店),5,曼可顿牛奶三文治面包-蜂蜜口味(350g),6,0,6,37.8
2014/9/1,1014359,上海祁山商业有限责任公司(华联交通店),6,曼可顿牛奶三文治面包-芝士口味(350g),3,0,3,18.9
2014/9/1,1014359,上海祁山商业有限责任公司(华联交通店),10155,曼可顿美味方香橙提子面包(125g),6,0,6,21
2014/9/1,1014359,上海祁山商业有限责任公司(华联交通店),10156,曼可顿美味方经典红豆面包(125g),3,0,3,10.5
2014/9/1,1014359,上海祁山商业有限责任公司(华联交通店),10164,曼可顿美味方纯软心巧克力面包(125g),3,0,3,10.5
2014/9/1,1014359,上海祁山商业有限责任公司(华联交通店),10203,曼可顿特选系列粗粮吐司面包(400g),2,0,2,12.6
2014/9/1,1014359,上海祁山商业有限责任公司(华联交通店),10263,曼可顿超醇面包(400g),6,0,6,47.76
2014/9/1,1014359,上海祁山商业有限责任公司(华联交通店),10402,曼可顿强化营养面包（全麦）(310g),4,0,4,20
2014/9/1,1014360,上海元馨商业有限责任公司(华联双河店),5,曼可顿牛奶三文治面包-蜂蜜口味(350g),2,0,2,12.6
2014/9/1,1014360,上海元馨商业有限责任公司(华联双河店),6,曼可顿牛奶三文治面包-芝士口味(350g),2,0,2,12.6
2014/9/1,1014360,上海元馨商业有限责任公司(华联双河店),10156,曼可顿美味方经典红豆面包(125g),2,0,2,7
2014/9/1,1014360,上海元馨商业有限责任公司(华联双河店),10164,曼可顿美味方纯软心巧克力面包(125g),2,0,2,7
2014/9/1,1014360,上海元馨商业有限责任公司(华联双河店),10175,曼可顿黄金堡法式软丝面包,2,0,2,16.2
2014/9/1,1014360,上海元馨商业有限责任公司(华联双河店),10203,曼可顿特选系列粗粮吐司面包(400g),2,0,2,12.6
2014/9/1,1014360,上海元馨商业有限责任公司(华联双河店),10216,曼可顿红豆面包(136g),2,0,2,7.2
2014/9/1,1014360,上海元馨商业有限责任公司(华联双河店),10226,曼可顿皇冠面包-奶皇味(200g),2,0,2,16
2014/9/1,1014360,上海元馨商业有限责任公司(华联双河店),10231,曼可顿黄金蛋糕-原味(170g),2,0,2,14.8
2014/9/1,1014360,上海元馨商业有限责任公司(华联双河店),10263,曼可顿超醇面包(400g),3,0,3,23.88
2014/9/1,1014360,上海元馨商业有限责任公司(华联双河店),10341,曼可顿超醇面包-全麦(200g),2,0,2,9.86
2014/9/1,1014360,上海元馨商业有限责任公司(华联双河店),10400,曼可顿强化营养面包（甜味）(310g),2,0,2,9.8
2014/9/1,1014360,上海元馨商业有限责任公司(华联双河店),10402,曼可顿强化营养面包（全麦）(310g),3,0,3,15
2014/9/1,1014429,乐购---真北店,5,曼可顿牛奶三文治面包-蜂蜜口味(350g),35,0,35,220.5
2014/9/1,1014429,乐购---真北店,6,曼可顿牛奶三文治面包-芝士口味(350g),20,0,20,126
2014/9/1,1014429,乐购---真北店,325,曼可顿芝麻仔汉堡面包(285g),5,0,5,21.5
2014/9/1,1014429,乐购---真北店,10155,曼可顿美味方香橙提子面包(125g),5,0,5,17.5
2014/9/1,1014429,乐购---真北店,10156,曼可顿美味方经典红豆面包(125g),5,0,5,17.5
2014/9/1,1014429,乐购---真北店,10164,曼可顿美味方纯软心巧克力面包(125g),5,0,5,17.5
2014/9/1,1014429,乐购---真北店,10175,曼可顿黄金堡法式软丝面包,10,0,10,81
2014/9/1,1014429,乐购---真北店,10226,曼可顿皇冠面包-奶皇味(200g),10,0,10,80
2014/9/1,1014429,乐购---真北店,10263,曼可顿超醇面包(400g),75,0,75,597
2014/9/1,1014429,乐购---真北店,10400,曼可顿强化营养面包（甜味）(310g),30,0,30,147
2014/9/1,1014429,乐购---真北店,10401,曼可顿强化营养面包（咸味）(310g),20,0,20,98
